"","mouseID","sex","lon","lat","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"691","AA_0200","M",13.1633,53.2397,2016,"11",69,-0.385297306438015,0.85,"53.2397   13.1633","Batch_1",6,117,117,3.28557751424262,0.10156987163977,0.0841490533464642
"692","AA_0061","M",13.599425,52.273117,2016,"11.937",72,-0.766054907739369,0,"52.2731   13.5994","Batch_1",2,39,39,2.85658567427503,0.274892985572434,0.0932763911295558
"693","SK_3135","M",14.0569,52.8092,2015,"16.99",78.7,1.34395311602094,0.85,"52.8092   14.0569","Batch_1",4,39,39,2.99598837456051,0.329807645394434,0.0777453949266706
"694","AA_0303","M",13.8675,52.2428,2017,"18.92",83.28,1.26217651136755,0.2,"52.2428   13.8675","Batch_1",6,91,91,3.83822406553169,0.317160302344042,0.034648128746865
"695","AA_0584","M",12.6278,52.7269,2018,"15.33",76,0.869934957192162,0,"52.7269   12.6278","Batch_1",6,58,58,3.17994805187103,0.226192589517044,0.0762243331983503
"696","AA_0288","M",13.8756,52.6053,2017,"7.01",62.14,-1.36202492479559,0.8125,"52.6053   13.8756","Batch_1",7,102,102,3.37252890106937,0.147374546215173,0.0665238456735486
"697","AA_0055","M",13.3064,52.91,2016,"15.181",80,-1.03607517787631,0,"52.91   13.3064","Batch_1",2,50,50,3.22201489209153,0.299455389441403,0.0667879113390063
"698","SK_3055","F",12.35444444,49.125,2015,"15.36",83.8,-2.52623480619135,0.52,"49.125   12.3544","Batch_1",2,54,54,3.25518086900981,0.293643008772025,0.0630647349513289
"699","AA_0359","M",13.4864,53.1275,2017,"9.97",68.21,-1.06828780476199,0.95,"53.1275   13.4864","Batch_1",9,62,62,3.18029504522963,0.210920778270543,0.0764696223402713
"700","AA_0188","F",14.035471,53.020251,2016,"9.07",67,-1.43679223890378,0.72,"53.0203   14.0355","Batch_1",5,29,29,2.57591252297801,0.303742217384168,0.113526393919342
"701","AA_0375","M",14.1808,52.0747,2017,"16.8",81.48,-0.0671689278516432,0.75,"52.0747   14.1808","Batch_1",10,41,41,2.90632214884089,0.289774610699413,0.084169706392046
"702","AA_0677","M",13.1781,52.9967,2018,"8.84",60,1.40797549746604,0.2,"52.9967   13.1781","Batch_1",5,72,72,3.48901967399773,0.259250224699603,0.0535732954715166
"703","AA_0353","F",13.4408,53.0497,2017,"18.85",86.95,-0.419880287557775,0.68,"53.0497   13.4408","Batch_1",14,63,63,3.11481898465273,0.189461625749539,0.0837795823308273
"704","AA_0385","M",13.8975,52.2761,2017,"15.42",78.95,-0.335860017420836,0.35,"52.2761   13.8975","Batch_1",15,28,28,2.577395661384,0.346250308804509,0.103145859530337
"705","SK_3105","F",13.4542,53.1478,2015,"17.81",85,-0.603337846711897,0.88,"53.1478   13.4542","Batch_1",1,41,41,2.92767045457389,0.282678433682109,0.0862826483956943
"706","SK_3049","M",12.60638889,49.26194444,2015,"15.47",82.2,-1.71343075216397,0.4,"49.2619   12.6064","Batch_1",4,35,35,3.01094445829573,0.393595248876315,0.0725908878549675
"707","AA_0535","M",13.2829,52.9574,2018,"16.83",79,1.05217735589081,0.15,"52.9574   13.2829","Batch_1",4,20,20,2.54441948941483,0.48491844497514,0.103110121955793
"708","AA_0066","F",13.4642,52.4164,2016,"19.447",87,0.155157085753868,0.12,"52.4164   13.4642","Batch_1",7,43,43,2.97306091053367,0.272350700450577,0.0853892202774364
"709","SK_3184","M",13.1278,52.8925,2015,"13.88",78.2,-1.5464206170955,0.2,"52.8925   13.1278","Batch_1",1,30,30,2.79714962390947,0.392795174301518,0.0848618708022772
"710","SK_2992","M",12.245,49.67722222,2015,"21.79",88.7,1.75142777834977,0,"49.6772   12.245","Batch_1",7,43,43,3.10453027551275,0.36197260769059,0.0642474415449888
"711","AA_0124","F",13.3047,52.9936,2016,"8.381",63,-0.36878210383531,0.04,"52.9936   13.3047","Batch_1",8,49,49,3.09288298908876,0.2552940419607,0.0799398337249397
"712","SK_3125","F",13.666418,52.733898,2015,"23.24",90.2,2.54254897769909,0,"52.7339   13.6664","Batch_1",15,55,55,3.33108501894105,0.332925550204035,0.0546122644257114
