ARO,localization,mobility,drug_class
ARO:3000027,chromosome,FALSE,fluoroquinolone
ARO:3000074,chromosome,FALSE,fluoroquinolone
ARO:3000795,chromosome,FALSE,multidrug
ARO:3003549,chromosome,FALSE,multidrug
ARO:3003838,chromosome,FALSE,multidrug
ARO:3003841,chromosome,FALSE,multidrug
ARO:3003950,chromosome,FALSE,nitroimidazole
ARO:3003952,chromosome,FALSE,peptide
ARO:3004043,chromosome,FALSE,multidrug
ARO:3001328,chromosome,FALSE,multidrug
ARO:3004597,chromosome,FALSE,multidrug
ARO:3005042,chromosome,FALSE,multidrug
ARO:3005041,chromosome,FALSE,multidrug
ARO:3000614,chromosome,FALSE,macrolide
ARO:3004659,chromosome,FALSE,multidrug
ARO:3004039,chromosome,FALSE,macrolide
ARO:3000180,chromosome,FALSE,tetracycline
ARO:3000165,mixed,TRUE,tetracycline
ARO:3003954,chromosome,FALSE,multidrug
ARO:3003551,chromosome,FALSE,multidrug
ARO:3003948,chromosome,FALSE,multidrug
ARO:3003949,chromosome,FALSE,multidrug
ARO:3003922,mixed,TRUE,multidrug
ARO:3003923,mixed,TRUE,multidrug
ARO:3004041,chromosome,FALSE,multidrug
ARO:3004580,chromosome,FALSE,multidrug
ARO:3004583,chromosome,FALSE,multidrug
ARO:3004588,chromosome,FALSE,multidrug
ARO:3005059,chromosome,FALSE,multidrug
ARO:3000179,mixed,TRUE,tetracycline
ARO:3004042,chromosome,FALSE,multidrug
ARO:3000784,chromosome,FALSE,multidrug
ARO:3000785,chromosome,FALSE,multidrug
ARO:3002882,chromosome,FALSE,lincosamide
ARO:3000783,chromosome,FALSE,multidrug
ARO:3000526,chromosome,FALSE,multidrug
ARO:3003835,chromosome,FALSE,multidrug
ARO:3000178,plasmids,TRUE,tetracycline
ARO:3001327,chromosome,FALSE,fluoroquinolone
ARO:3002999,chromosome,FALSE,cephalosporin
ARO:3000205,mixed,TRUE,tetracycline
ARO:3004683,chromosome,FALSE,aminoglycoside
ARO:3002654,plasmids,TRUE,aminoglycoside
ARO:3004611,chromosome,FALSE,beta-lactam
ARO:3004612,chromosome,FALSE,beta-lactam
ARO:3006878,chromosome,FALSE,cephalosporin
ARO:3003097,chromosome,FALSE,cephalosporin
ARO:3002589,chromosome,FALSE,aminoglycoside
ARO:3002647,plasmids,TRUE,aminoglycoside
ARO:3002897,plasmids,TRUE,nucleoside
ARO:3002629,pathogenicity_islands,TRUE,aminoglycoside
ARO:3004629,plasmids,TRUE,aminoglycoside
ARO:3004290,chromosome,FALSE,beta-lactam
ARO:3006875,chromosome,FALSE,cephalosporin
ARO:3006876,chromosome,FALSE,cephalosporin
ARO:3006877,chromosome,FALSE,cephalosporin
ARO:3002641,transposon,TRUE,aminoglycoside
ARO:3002660,multiple_mge,TRUE,aminoglycoside
ARO:3002556,chromosome,FALSE,aminoglycoside
ARO:3003559,chromosome,FALSE,aminoglycoside
ARO:3002639,multiple_mge,TRUE,aminoglycoside
ARO:3004601,mixed,TRUE,lincosamide
ARO:3006224,chromosome,FALSE,cephalosporin
ARO:3006225,chromosome,FALSE,cephalosporin
ARO:3006226,chromosome,FALSE,cephalosporin
ARO:3006874,chromosome,FALSE,cephalosporin
ARO:3006879,chromosome,FALSE,cephalosporin
ARO:3006880,chromosome,FALSE,cephalosporin
ARO:3006881,chromosome,FALSE,cephalosporin
ARO:3002837,transposon,TRUE,lincosamide
ARO:3003002,mixed,TRUE,cephalosporin
ARO:3003005,chromosome,FALSE,cephalosporin
ARO:3002601,multiple_mge,TRUE,aminoglycoside
ARO:3003001,mixed,TRUE,cephalosporin
ARO:3003003,mixed,TRUE,cephalosporin
ARO:3004089,plasmids,TRUE,aminoglycoside
ARO:3005162,chromosome,FALSE,phosphonic_acid
ARO:3002621,integron,TRUE,aminoglycoside
ARO:3003096,mixed,TRUE,cephalosporin
ARO:3002844,transposon,TRUE,streptogramin
ARO:3002628,plasmids,TRUE,aminoglycoside
ARO:3004111,plasmids,TRUE,phosphonic_acid
ARO:3001044,mixed,TRUE,beta-lactam
ARO:3002836,plasmids,TRUE,lincosamide
ARO:3002626,plasmids,TRUE,aminoglycoside
ARO:3002083,plasmids,TRUE,cephalosporin
ARO:3002112,plasmids,TRUE,cephalosporin
ARO:3002096,plasmids,TRUE,cephalosporin
ARO:3002087,plasmids,TRUE,cephalosporin
ARO:3002106,plasmids,TRUE,cephalosporin
ARO:3002095,plasmids,TRUE,cephalosporin
ARO:3002119,plasmids,TRUE,cephalosporin
ARO:3006457,plasmids,TRUE,cephalosporin
ARO:3002635,chromosome,FALSE,aminoglycoside
